Done with 1 flops
Done with 2 flops
Done with 3 flops
Done with 4 flops
Done with 5 flops
Done with 6 flops
Done with 7 flops
Done with 8 flops
Done with 9 flops
Done with 10 flops
Done with 11 flops
Done with 12 flops
Done with 13 flops
Done with 14 flops
Done with 15 flops
Done with 16 flops
Done with 17 flops
Done with 18 flops
Done with 19 flops
Done with 20 flops
Done with 21 flops
Done with 22 flops
Done with 23 flops
Done with 24 flops
Done with 25 flops
Done with 26 flops
Done with 27 flops
Done with 28 flops
Done with 29 flops
Done with 30 flops
Done with 31 flops
Done with 32 flops
Done with 33 flops
Done with 34 flops
Done with 35 flops
Done with 36 flops
Line: []
Flop,IP Eq,IP EV,OOP Eq,OOP EV,Check,Bet(120),AllIn(900)
Jh3d2c,47.82,96.56,52.18,103.44,48.69,51.31,0.00
Jh4d2c,47.59,97.06,52.41,102.94,46.95,53.05,0.00
Jh5d2c,46.40,94.62,53.60,105.38,42.82,57.18,0.00
Jh6d2c,46.32,87.64,53.68,112.36,34.70,65.30,0.00
Jh7d2c,46.42,88.81,53.58,111.19,40.50,59.50,0.00
Jh8d2c,46.27,91.51,53.73,108.49,40.59,59.41,0.00
Jh9d2c,46.19,90.71,53.81,109.29,39.75,60.25,0.00
JhTd2c,47.34,91.94,52.66,108.06,52.11,47.89,0.00
Jh4d3c,47.61,95.83,52.39,104.17,44.32,55.68,0.00
Jh5d3c,46.77,98.30,53.23,101.70,47.76,52.24,0.00
Jh6d3c,46.56,87.84,53.44,112.16,34.59,65.41,0.00
Jh7d3c,47.01,90.40,52.99,109.60,39.45,60.55,0.00
Jh8d3c,46.74,92.58,53.26,107.42,41.55,58.45,0.00
Jh9d3c,46.63,91.64,53.37,108.36,39.59,60.41,0.00
JhTd3c,47.77,92.85,52.23,107.15,51.96,48.04,0.00
Jh5d4c,46.30,94.13,53.70,105.87,39.24,60.76,0.00
Jh6d4c,45.79,89.09,54.21,110.91,38.05,61.95,0.00
Jh7d4c,46.08,88.00,53.92,112.00,37.12,62.88,0.00
Jh8d4c,45.88,90.67,54.12,109.33,38.57,61.43,0.00
Jh9d4c,45.89,89.86,54.11,110.14,37.35,62.65,0.00
JhTd4c,47.06,91.10,52.94,108.90,49.78,50.22,0.00
Jh6d5c,45.01,85.09,54.99,114.91,31.29,68.71,0.00
Jh7d5c,45.62,88.48,54.38,111.52,33.73,66.27,0.00
Jh8d5c,45.48,88.44,54.52,111.56,30.48,69.52,0.00
